generation,best_fitness,mean_fitness,min_fitness
0,174.39999999999998,11.615555555555556,0.5
1,104.53333333333335,12.420222222222224,0.5
2,269.6666666666667,13.868666666666668,0.5
3,170.9,17.366,0.5
4,205.66666666666666,19.36777777777778,0.5
5,338.76666666666665,20.401333333333334,0.5
6,270.2,19.81688888888889,0.5
7,270.1333333333333,25.278888888888886,0.5
8,336.0,27.55866666666666,0.5
9,674.3333333333334,25.784222222222223,0.5
10,440.4666666666667,25.59644444444444,0.5
11,408.26666666666665,27.186222222222224,0.5
12,605.9666666666666,30.370444444444438,0.5
13,542.3000000000001,30.534666666666666,0.5
14,607.9,31.792444444444445,0.5
15,774.8333333333334,37.44266666666667,0.5
16,403.8666666666666,30.022666666666666,0.5
17,708.1666666666666,33.449555555555555,0.5
18,875.4333333333334,38.18888888888889,0.5
19,574.5000000000001,40.23466666666667,0.5
20,705.9333333333334,34.38644444444444,0.5
21,908.9000000000001,40.742000000000004,0.5
22,437.8666666666666,32.50822222222222,0.5
23,841.3666666666668,46.77022222222223,0.5
24,944.2666666666668,38.391111111111115,0.5
25,977.4,39.98288888888889,0.5
26,840.3666666666667,42.73422222222222,0.5
