generation,best_fitness,mean_fitness,min_fitness
0,123.76666666666667,3.4831111111111115,0.0
1,116.56666666666666,3.072222222222222,0.0
2,116.46666666666665,3.4726666666666666,0.0
3,142.86666666666667,4.591555555555556,0.0
4,109.06666666666666,3.6657777777777785,0.0
5,235.96666666666667,5.178,0.0
6,168.5,6.47911111111111,0.0
7,272.3333333333333,7.049333333333334,0.0
8,169.26666666666668,6.893777777777777,0.0
9,269.6,8.061111111111114,0.0
10,202.73333333333335,10.44688888888889,0.0
11,710.5,17.23311111111111,0.0
12,192.79999999999998,9.35288888888889,0.0
13,508.09999999999997,14.467333333333332,0.0
14,2073.4333333333334,28.863111111111113,0.0
15,373.0333333333333,16.83488888888889,0.0
16,980.1333333333333,19.65577777777778,0.0
17,610.6,24.55488888888889,0.0
18,744.3000000000001,23.53777777777778,0.0
19,811.9333333333334,20.73888888888889,0.0
20,1149.3,36.41422222222222,0.0
21,845.4666666666666,28.55644444444445,0.0
22,1077.7666666666667,29.403333333333332,0.0
23,1250.5666666666666,33.38288888888889,0.0
