generation,best_fitness,mean_fitness,min_fitness
0,167.83333333333334,12.099333333333334,0.5
1,235.9333333333333,14.903111111111114,0.5
2,236.4333333333333,16.98488888888889,0.5
3,607.9,22.680444444444447,0.5
4,370.93333333333334,23.56577777777778,0.5
5,775.8333333333334,25.46311111111111,0.5
6,875.5666666666666,32.77377777777778,0.5
7,370.56666666666666,23.93311111111111,0.5
8,942.4333333333334,35.86133333333334,0.5
9,606.8000000000001,26.773555555555557,0.5
10,742.1666666666666,32.949777777777776,0.5
11,908.4,36.67666666666667,0.5
12,742.5666666666667,37.306000000000004,0.5
13,740.8666666666668,40.754444444444445,0.5
14,741.5666666666667,38.6371111111111,0.5
15,672.9666666666667,34.12,0.5
16,1112.8666666666668,34.483777777777775,0.5
17,606.5333333333334,40.174,0.5
18,674.6,37.602000000000004,0.5
19,538.9666666666666,33.81377777777778,0.5
20,404.0,32.992444444444445,0.5
21,539.7,31.711777777777776,0.5
22,844.1333333333333,30.543777777777777,0.5
23,571.8,41.33533333333333,0.5
24,877.4,30.858888888888888,0.5
25,944.2666666666668,40.257111111111115,0.5
26,711.7333333333332,45.952444444444446,0.5
27,1045.0666666666666,44.43022222222222,0.5
