generation,best_fitness,mean_fitness,min_fitness
0,77.36666666666666,8.814222222222224,0.5
1,73.96666666666667,11.546222222222223,0.5
2,205.66666666666666,14.569111111111113,0.5
3,178.5666666666667,16.570444444444444,0.5
4,538.5333333333333,28.10733333333333,0.5
5,370.06666666666666,23.211777777777776,0.5
6,504.4333333333332,23.376666666666665,0.5
7,842.3333333333334,26.429333333333332,0.5
8,1043.8333333333333,33.11288888888888,0.5
9,471.8333333333333,29.331999999999994,0.5
10,841.6999999999999,32.95911111111111,0.5
11,976.5333333333334,30.771555555555558,0.5
12,1077.4333333333334,35.925333333333334,0.5
13,644.3666666666667,30.118,0.5
14,876.0666666666666,29.632,0.5
15,875.7666666666668,30.333777777777776,0.5
16,744.2333333333332,36.233777777777775,0.5
17,845.8000000000001,38.098222222222226,0.5
18,1014.2666666666668,28.873333333333335,0.5
19,1149.6999999999998,34.58466666666666,0.5
20,876.0,35.272666666666666,0.5
21,807.5,36.51888888888889,0.5
22,1319.8,39.971111111111114,0.5
23,909.3666666666667,37.257999999999996,0.5
24,778.0666666666666,41.82288888888889,0.5
25,1110.4666666666665,36.766000000000005,0.5
26,1246.0666666666666,48.29688888888889,0.5
