generation,best_fitness,mean_fitness,min_fitness
0,67.16666666666667,9.072222222222223,0.5
1,101.09999999999998,10.201555555555556,0.5
2,77.2,12.304222222222222,0.5
3,73.43333333333334,11.629777777777777,0.5
4,108.13333333333333,12.607333333333333,0.5
5,74.33333333333333,12.245555555555555,0.5
6,43.53333333333333,11.325777777777779,0.5
7,105.0,12.329777777777778,0.5
8,142.96666666666667,15.085555555555553,0.5
9,110.46666666666665,12.523111111111112,0.5
10,144.4,13.09488888888889,0.5
11,146.29999999999998,13.264666666666665,0.5
12,76.76666666666667,12.158,0.5
13,72.13333333333334,14.158666666666669,0.5
14,80.76666666666667,11.076444444444444,0.5
15,78.86666666666666,12.62,0.5
16,172.9333333333333,14.113777777777777,0.5
17,106.16666666666667,16.762888888888888,0.5
18,176.39999999999998,13.257111111111112,0.5
19,135.03333333333333,15.407777777777778,0.5
20,79.66666666666667,14.885555555555557,0.5
21,141.03333333333333,14.030888888888889,0.5
22,141.5,13.840222222222218,0.5
23,108.76666666666667,12.792444444444445,0.5
24,107.63333333333333,13.573777777777778,0.5
25,144.4333333333333,16.52133333333333,0.5
26,79.89999999999999,13.27511111111111,0.5
27,169.36666666666667,13.807777777777776,0.5
28,82.23333333333333,17.625555555555554,0.5
29,78.86666666666666,16.796222222222223,0.5
30,171.16666666666666,16.40177777777778,0.5
