generation,best_fitness,mean_fitness,min_fitness
0,36.733333333333334,2.5677777777777777,0.0
1,37.53333333333333,4.470444444444444,0.0
2,74.23333333333333,2.551777777777778,0.0
3,667.3333333333334,9.662,0.0
4,746.1666666666666,14.755333333333331,0.0
5,303.3,13.351777777777777,0.0
6,336.90000000000003,11.265777777777778,0.0
7,302.5,15.500222222222222,0.0
8,845.9333333333334,16.06666666666667,0.0
9,679.8666666666667,18.580444444444446,0.0
10,473.5333333333333,15.228666666666665,0.0
11,303.06666666666666,15.908666666666669,0.0
12,854.2333333333332,23.808888888888887,0.0
13,404.06666666666666,22.55666666666667,0.0
14,235.66666666666666,18.528,0.0
15,370.53333333333336,24.785777777777778,0.0
16,369.93333333333334,30.887555555555554,0.0
17,698.1999999999999,21.653333333333332,0.0
18,277.3333333333333,21.923555555555556,0.0
19,985.5,24.950444444444447,0.0
20,1187.1666666666667,25.999555555555556,0.0
21,992.1999999999999,37.2,0.0
22,1810.3999999999999,35.60555555555556,0.0
23,1158.0666666666666,50.25244444444444,0.0
24,1492.8999999999999,43.546888888888894,0.0
25,2098.5,49.281111111111116,0.0
26,1928.6666666666667,42.29355555555556,0.0
27,2790.9666666666667,42.452666666666666,0.0
28,3874.0,66.76511111111111,0.0
29,2496.0,66.96177777777778,0.0
30,2065.3333333333335,60.852,0.0
31,1849.7,54.846888888888884,0.0
32,1622.9666666666665,62.348222222222226,0.0
33,2624.9333333333334,92.4,0.0
34,1792.0,75.73733333333334,0.0
35,2099.266666666667,91.3651111111111,0.0
36,3944.0,127.90711111111113,0.0
37,3083.5333333333333,113.378,0.0
38,3197.3333333333335,139.14755555555556,0.0
39,3120.3333333333335,146.4608888888889,0.0
40,2674.6666666666665,137.268,0.0
41,4036.0,145.20133333333334,0.0
42,1797.5,146.9968888888889,0.0
43,3132.9,205.43488888888888,0.0
44,3176.0,190.2053333333333,0.0
45,2514.6666666666665,194.29333333333332,0.0
46,3925.3333333333335,242.54044444444443,0.0
47,2654.0,284.62533333333334,0.0
48,2157.3333333333335,236.3851111111111,0.0
49,2156.7999999999997,281.1268888888889,0.0
50,2090.0666666666666,218.93555555555557,0.0
51,1911.0,232.95911111111113,0.0
52,3066.6666666666665,340.0471111111111,0.0
53,2507.3333333333335,356.32177777777775,0.0
54,3200.0,351.928,0.0
55,2546.633333333333,365.8671111111111,0.0
56,3266.6666666666665,390.7328888888889,0.0
57,2999.3333333333335,456.70266666666674,0.0
58,3215.3333333333335,355.4653333333334,0.0
59,2866.0,509.19133333333343,0.0
60,3660.6666666666665,470.69755555555554,0.0
61,4352.666666666667,526.0188888888889,0.0
62,3702.6666666666665,564.1673333333333,0.0
63,3756.0,531.1262222222222,0.0
64,3676.6666666666665,565.8224444444445,0.0
65,3400.6666666666665,626.0862222222221,0.0
66,3954.0,559.844,0.0
67,3200.2666666666664,620.16,0.0
68,3732.6666666666665,721.2817777777777,0.0
69,3945.3333333333335,625.4344444444444,0.0
70,4156.666666666667,737.3731111111109,0.0
71,3332.0,668.5677777777777,0.0
72,4412.0,813.9413333333333,0.0
73,4720.666666666667,805.9951111111111,0.0
74,5692.0,874.7542222222222,0.0
75,5350.666666666667,850.2084444444445,0.0
76,4198.0,886.8957777777778,0.0
77,4041.4666666666667,964.6642222222224,0.0
78,3897.3333333333335,1021.7815555555555,0.0
79,3871.3333333333335,985.097111111111,0.0
80,4612.0,951.2853333333335,0.0
81,5033.333333333333,927.856,0.0
82,4462.666666666667,1065.8426666666667,0.0
83,4766.666666666667,1051.3106666666667,0.0
84,3436.0,999.1346666666667,0.0
85,4570.666666666667,1047.9004444444442,0.0
86,3902.6666666666665,952.31,0.0
87,4064.0,916.4173333333332,0.0
