generation,best_fitness,mean_fitness,min_fitness
0,183.0666666666667,11.662444444444445,0.5
1,215.53333333333333,12.515777777777778,0.5
2,137.66666666666666,11.559777777777779,0.5
3,236.9333333333333,17.826666666666668,0.5
4,303.03333333333336,19.667333333333332,0.5
5,438.09999999999997,27.684,0.5
6,370.3666666666666,29.311333333333337,0.5
7,385.1333333333334,25.53377777777778,0.5
8,320.6,25.488444444444443,0.5
9,494.1666666666667,27.309555555555555,0.5
10,403.43333333333334,30.198888888888888,0.5
11,438.4666666666667,38.38133333333332,0.5
12,335.6666666666667,34.31644444444445,0.5
13,471.5,42.19777777777778,0.5
14,505.09999999999997,32.091111111111104,0.5
15,403.4666666666667,31.133777777777777,0.5666666666666668
16,707.8666666666668,34.489555555555555,0.5
17,640.8333333333334,48.63422222222222,0.5
18,1318.5333333333333,49.248222222222225,0.5
19,909.3333333333334,45.45666666666666,0.5
20,709.4666666666667,46.358,0.5
21,776.3666666666667,49.726222222222226,0.5
22,472.2333333333333,49.022222222222226,0.5
23,639.5333333333333,41.764,0.5
24,406.7333333333333,39.68244444444444,0.5
25,877.1333333333333,59.56333333333333,0.5
26,1042.9666666666665,61.57777777777778,0.5
27,875.3000000000001,58.19600000000001,0.5
28,674.2333333333332,53.22711111111111,0.5
29,713.0,65.65688888888889,0.5
30,977.3333333333334,68.16622222222223,0.5
31,777.0,65.644,0.5
32,884.9,76.57311111111112,0.5
33,918.0666666666666,86.7811111111111,0.5
34,808.9000000000001,101.95400000000001,0.6000000000000001
35,949.4666666666667,84.86755555555555,0.5
36,1725.2333333333336,105.99866666666668,0.5
37,810.1666666666666,91.24733333333333,0.5
38,942.3333333333334,108.6708888888889,0.5
39,607.9666666666667,130.35666666666665,0.5666666666666668
40,774.0666666666666,132.5431111111111,0.5
41,1011.8000000000001,133.3942222222222,0.6666666666666666
42,1308.6333333333332,126.57622222222223,0.5
43,1388.2,154.00666666666666,0.5
44,1623.0666666666668,189.60355555555554,0.5
45,1657.3666666666666,196.38377777777777,0.5
46,1597.1000000000001,225.7746666666667,0.7333333333333334
47,1276.466666666667,202.11444444444442,0.6000000000000001
48,1645.0333333333335,231.1671111111111,0.7000000000000001
49,1359.033333333333,226.88088888888888,0.9
50,1215.8000000000002,214.5197777777778,0.5
51,1545.2333333333336,232.96466666666666,0.8000000000000002
52,1348.3666666666666,251.8977777777778,1.1666666666666667
53,1078.9666666666665,225.74044444444445,0.5666666666666668
54,1176.3666666666666,222.26333333333332,1.0333333333333334
55,1509.9333333333334,304.43755555555555,8.066666666666666
56,1326.3333333333333,265.9333333333333,0.6666666666666666
57,1014.7999999999998,258.42333333333335,0.6666666666666666
58,1242.2333333333333,293.5586666666667,1.2333333333333334
59,973.7666666666668,271.2513333333334,0.9666666666666667
60,1214.0,301.75444444444446,4.0
61,1046.1666666666667,305.91,0.5
62,1657.4333333333332,293.5966666666667,0.6000000000000001
63,1289.0,344.84,1.0
64,1389.0999999999997,326.37244444444445,8.633333333333333
65,1350.3333333333333,325.3037777777778,0.9
66,911.1999999999999,341.918,0.9333333333333332
67,1145.8666666666668,349.49111111111114,0.5
68,1183.6666666666667,337.90511111111107,1.5333333333333332
69,1118.7,330.18733333333336,0.5
70,1250.5333333333333,351.31244444444445,0.5666666666666668
71,1114.9333333333334,337.9462222222222,2.1333333333333333
72,1255.1666666666667,345.88977777777785,10.0
73,1081.0666666666668,350.8531111111111,0.9333333333333332
74,1179.4333333333334,347.4291111111111,0.5
75,1319.8666666666668,382.5877777777778,5.366666666666667
76,1112.9333333333334,364.1015555555556,2.0333333333333337
77,1319.4666666666667,416.566,4.566666666666666
78,1245.4333333333332,401.80822222222224,10.0
79,1389.4333333333334,418.9215555555556,2.1333333333333333
80,1520.4333333333334,414.36822222222224,0.9333333333333332
